Site,Query_Seq_ID,Hit_Seq_ID,GTDBtk_taxonomy
DeMMO2,OTU_296,DeMMO2_88,D_0__Bacteria; D_1__D_0__Bacteria; D_1__Acidobacteria
DeMMO2,OTU_2966,DeMMO2_85-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_2973,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_2986,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3006,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_3030,DeMMO3_2,D_0__Bacteria; D_1__Calditrichaeota
DeMMO2,OTU_3056,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO1,OTU_3065,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_31,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_310,DeMMO2_25,D_0__Bacteria; D_1__Patescibacteria
DeMMO6,OTU_314,DeMMO6_41,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_3143,DeMMO3_21,D_0__Bacteria; D_1__Zixibacteria
DeMMO1,OTU_3178,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3189,DeMMO1_3,D_0__Bacteria; D_1__Lentisphaerae
DeMMO6,OTU_321,DeMMO6_4,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO6,OTU_3210,DeMMO6_4,D_0__Bacteria; D_1__Omnitrophicaeota
DeMMO5,OTU_323,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_3254,DeMMO3_18,D_0__Bacteria; D_1__Actinobacteria
DeMMO2,OTU_3258,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_3259,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3294,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_3300,DeMMO2_37,D_0__Bacteria; D_1__Zixibacteria
DeMMO3,OTU_3334,DeMMO3_36,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_3357,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO3,OTU_337,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3386,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_3393,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_3443,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_3449,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO1,OTU_3483,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3514,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_3526,DeMMO2_27,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO3,OTU_353,DeMMO3_46,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_356,DeMMO2_85-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_3584,DeMMO3_34,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_3598,DeMMO2_52,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO1,OTU_3662,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_3686,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO4,OTU_3723,DeMMO4_5,D_0__Bacteria; D_1__Bacteroidetes; D_2__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteria; D_3__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriales; D_4__D_0__Bacteria; D_1__Bacteroidetes; D_2__Ignavibacteriaceae; D_5__Ignavibacterium 
DeMMO1,OTU_3735,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO5,OTU_3744,DeMMO5_12,D_0__Bacteria; D_1__Planctomycetes; D_2__Planctomycetacia; D_3__Planctomycetales; D_4__Planctomycetaceae; D_5__Candidatus Brocadiae
DeMMO5,OTU_3750,DeMMO5_45,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_3761,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_3796,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO5,OTU_3796,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO3,OTU_3844,DeMMO3_2,D_0__Bacteria; D_1__Calditrichaeota
DeMMO5,OTU_389,DeMMO5_10,D_0__Bacteria; D_1__Eremiobacteria
DeMMO2,OTU_3927,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO1,OTU_3942,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO2,OTU_3995,DeMMO2_19,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO2,OTU_4003,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_407,DeMMO2_52,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Unclassified; D_4__Microgenomates
DeMMO2,OTU_4081,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO2,OTU_412,DeMMO2_37,D_0__Bacteria; D_1__Zixibacteria
DeMMO2,OTU_4130,DeMMO2_9,D_0__Bacteria; D_1__Planctomycetes; D_2__Phycisphaerae
DeMMO1,OTU_4137,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO2,OTU_4145,DeMMO2_23,D_0__Bacteria; D_1__Patescibacteria
DeMMO1,OTU_4147,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_4185,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO5,OTU_4262,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO1,OTU_4287,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO1,OTU_433,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_4334,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO1,OTU_4376,DeMMO1_19,D_0__Bacteria; D_1__Chlamydiae; D_2__Chlamydiae; D_3__Parachlamydiales
DeMMO5,OTU_4395,DeMMO5_37-#2,D_0__Bacteria; D_1__Patescibacteria; D_2__Microgenomatia; D_3__Candidatus Pacebacteria
DeMMO3,OTU_4400,DeMMO3_63,D_0__Bacteria; D_1__Patescibacteria; D_2__Gracilibacteria
DeMMO2,OTU_4403,DeMMO2_21,D_0__Bacteria; D_1__Micrarchaeota
DeMMO3,OTU_446,DeMMO3_7,D_0__Bacteria; D_1__Goldbacteria
DeMMO1,OTU_4471,DeMMO1_3,D_0__Bacteria; D_1__Lentisphaerae
DeMMO3,OTU_4495,DeMMO3_36,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
DeMMO1,OTU_4510,DeMMO1_11,D_0__Bacteria; D_1__Patescibacteria; D_2__ABY1; D_3__Uhrbacterales; D_4__GWF2-40-263; D_5__Candidatus Uhrbacteria
