"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"446","fluid_inert.control",1.95201456100191e-05,"Actinobacteria.Actinobacteria.Corynebacteriales.Corynebacteriaceae",0.126568439086827,0.336050231101504,"NA","3.04347826086956e-05","8.75670268407197e-05","0","0"
"447","fluid_inert.control",1.91920759360364e-05,"Deltaproteobacteria.Myxococcales.Haliangiaceae",0.262849936350112,0.499389821873949,"NA","2.60869565217391e-05","6.19192384874173e-05","5.88235294117647e-06","2.42535625036333e-05"
"448","fluid_inert.control",1.88640062629419e-05,"Deltaproteobacteria.Oligoflexales.053A03-B-DI-P58",0.244764593805011,0.473148240012984,"NA","0","0","2.94117647058824e-05","0.000121267812518166"
"449","fluid_inert.control",1.88640062620538e-05,"WS2.Other.Other.Other",0.0387351381826453,0.150485634304117,"NA","0","0","2.94117647058824e-05","6.85994340570035e-05"
"450","fluid_inert.control",1.86999714250069e-05,"Latescibacteria.uncultured Latescibacteria bacterium.uncultured Latescibacteria bacterium.uncultured Latescibacteria bacterium",0.377734520640061,0.610726577284184,"NA","8.69565217391304e-06","2.8810406552003e-05","2.35294117647059e-05","5.62295714538387e-05"
"451","fluid_inert.control",1.73876927289651e-05,"Bacteroidetes.Bacteroidia.Flavobacteriales.Weeksellaceae",0.49439517222307,0.681181872271399,"NA","1.73913043478261e-05","4.91026190103531e-05","1.17647058823529e-05","4.85071250072666e-05"
"452","fluid_inert.control",1.73876927279659e-05,"Gammaproteobacteria.Aeromonadales.Aeromonadaceae",0.49439517222307,0.681181872271399,"NA","1.73913043478261e-05","4.91026190103531e-05","1.17647058823529e-05","4.85071250072666e-05"
"453","fluid_inert.control",1.67315533809997e-05,"Nanoarchaeaeota.Woesearchaeia.Ambiguous_taxa.Ambiguous_taxa",0.218200767643049,0.448769165551933,"NA","2.60869565217391e-05","9.1539317456032e-05","0","0"
"454","fluid_inert.control",1.67315533800005e-05,"Chloroflexi.Anaerolineae.ADurb.Bin180.Other",0.0739077722642373,0.241008935288835,"NA","2.60869565217391e-05","6.19192384874173e-05","0","0"
"455","fluid_inert.control",1.67315533800005e-05,"Chloroflexi.Dehalococcoidia.SAR202 clade.Other",0.126653779532179,0.336050231101504,"NA","2.60869565217391e-05","7.51809411556112e-05","0","0"
"456","fluid_inert.control",1.67315533809997e-05,"Cyanobacteria.Melainabacteria.Caenarcaniphilales.uncultured bacterium",0.0739077722642373,0.241008935288835,"NA","2.60869565217391e-05","6.19192384874173e-05","0","0"
"457","fluid_inert.control",1.67315533800005e-05,"Gemmatimonadetes.MD2902-B12.Other.Other",0.126568439086827,0.336050231101504,"NA","2.60869565217391e-05","8.64312196560091e-05","0","0"
"458","fluid_inert.control",1.67315533809997e-05,"Patescibacteria.ABY1.Candidatus Komeilibacteria.uncultured bacterium",0.073807789882741,0.241008935288835,"NA","2.60869565217391e-05","6.88700443150182e-05","0","0"
"459","fluid_inert.control",1.67315533800005e-05,"Patescibacteria.ABY1.Candidatus Magasanikbacteria.Candidatus Magasanikbacteria bacterium GW2011_GWA2_41_55",0.126312341103439,0.336050231101504,"NA","2.60869565217391e-05","6.88700443150182e-05","0","0"
"460","fluid_inert.control",1.67315533800005e-05,"Patescibacteria.Microgenomatia.Candidatus Roizmanbacteria.uncultured bacterium",0.218200767643049,0.448769165551933,"NA","2.60869565217391e-05","9.1539317456032e-05","0","0"
"461","fluid_inert.control",1.67315533809997e-05,"Alphaproteobacteria.Dongiales.Dongiaceae",0.218200767643049,0.448769165551933,"NA","2.60869565217391e-05","0.00010538842141141","0","0"
"462","fluid_inert.control",1.67315533800005e-05,"Verrucomicrobia.Verrucomicrobiae.LD1-PB3.uncultured bacterium",0.126653779532179,0.336050231101504,"NA","2.60869565217391e-05","7.51809411556112e-05","0","0"
"463","fluid_inert.control",1.67315533800005e-05,"Armatimonadetes.Fimbriimonadia.Fimbriimonadales.Fimbriimonadaceae",0.389939573303625,0.610726577284184,"NA","2.60869565217391e-05","0.000125108648434245","0","0"
"464","fluid_inert.control",1.67315533809997e-05,"Bacteroidetes.Ignavibacteria.Ignavibacteriales.BSN166",0.218049401423781,0.448769165551933,"NA","2.60869565217391e-05","8.64312196560091e-05","0","0"
"465","fluid_inert.control",1.67315533800005e-05,"Firmicutes.Clostridia.Clostridiales.Family XIII",0.389939573303625,0.610726577284184,"NA","2.60869565217391e-05","0.000125108648434245","0","0"
"466","fluid_inert.control",1.67315533809997e-05,"Gemmatimonadetes.BD2-11 terrestrial group.Other.Other",0.389939573303625,0.610726577284184,"NA","2.60869565217391e-05","0.000125108648434245","0","0"
"467","fluid_inert.control",1.6239448869082e-05,"Chloroflexi.Dehalococcoidia.Dehalococcoidales.Dehalococcoidaceae",0.799875370245905,0.856899634434961,"NA","8.69565217391304e-06","4.1702882811415e-05","1.76470588235294e-05","7.27606875108999e-05"
"468","fluid_inert.control",1.60754140319241e-05,"Bacteroidetes.Bacteroidia.Bacteroidales.SB-5",0.626637576189982,0.772588115896464,"NA","1.73913043478261e-05","3.8755338788159e-05","1.17647058823529e-05","3.32105582077536e-05"
"469","fluid_inert.control",1.50912050100871e-05,"Chlamydiae.LD1-PA32.metagenome.metagenome",0.0387351381826453,0.150485634304117,"NA","0","0","2.35294117647059e-05","5.62295714538387e-05"
"470","fluid_inert.control",1.50912050089769e-05,"Cyanobacteria.Oxyphotobacteria.Nostocales.Phormidiaceae",0.244764593805011,0.473148240012984,"NA","0","0","2.35294117647059e-05","9.70142500145332e-05"
"471","fluid_inert.control",1.50912050099761e-05,"Firmicutes.Bacilli.Bacillales.Planococcaceae",0.244764593805011,0.473148240012984,"NA","0","0","2.35294117647059e-05","9.70142500145332e-05"
